PO Number,Release Number,PO Date,Dept #,Retailers PO #,Requested Ship / Delivery Date,Ship No Later,Cancel Date,Carrier,Carrier Details,Ship To Location,PO Line #,Qty Ordered,Unit of Measure,Unit Price,Buyer's Catalog or Stock Keeping #,UPC/EAN,Vendor Style,Retail Price,Product/Item Description,Color,Size,Pack Size,Pack Size UOM,Number of Inner Packs,Number of Pcs per Inner Pack,Store #,Qty per Store #,Record Type,PO purpose,PO Type,Contract number,Currency,Ship Status,Letter Of Credit,Vendor #,Division #,Cust Acct#,Cust Order #,Promo #,Ticket Desc,Other Info / #'s,Frt Terms,Carrier Ser Level,Payment Terms %,Payment Terms Disc Due Date,Payment Terms Disc Days Due,Payment Terms Net Due Date,Payment Terms Net Days,Payment Terms Disc Amt,Payment Terms Desc,Contact Phone,Contact Fax,Contact Email,Allow/Charge Type,Allow/Charge service,Allow/Charge amt,Allow/Charge %,Allow/Charge Rate,Allow/Charge Qty,Allow/Charge Desc,Ship To Name,Ship To Address 1,Ship to address 2,Ship to City,Ship To State,Ship to Zip,Ship To ctry,Ship To contact,Bill To Name,Bill To Address 1,Bill To address 2,Bill To City,Bill To State,Bill To Zip,Bill To ctry,Bill To contact,Buying Party Name,Buying Party Location,Buying Party Address 1,Buying Party address 2,Buying Party City,Buying Party State,Buying Party Zip,Buying Party ctry,Buying Party contact,Ultimate Location,Notes/Comments,Ship To Additional Name,Ship To Additional Name 2,Bill To Additional Name,Bill To Additional Name 2,Buyer Additional Name,Buyer Additional Name 2,GTIN,
3719189,,,,,,,,,,904S,,87,Each,29.95,1660280,647484025886,NT8211-01XL,,TOADZ BIB,BLACK,XL,,,12,1,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3719189,,,,,,,,,,904S,,45,Each,29.95,1660281,647484025893,NT8211-012X,,TOADZ BIB,BLACK,XXL,,,12,1,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3719189,,,,,,,,,,904S,,48,Each,17.49,1859832,647484037537,PS63172-01LG,,BULL FROGG SIG75 JACKET,BLACK,L,,,12,1,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3719189,,,,,,,,,,904S,,24,Each,17.49,1859833,647484037520,PS63172-01MD,,BULL FROGG SIG75 JACKET,BLACK,M,,,12,1,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3719189,,,,,,,,,,904S,,12,Each,17.49,1859834,647484037513,PS63172-01SM,,BULL FROGG SIG75 JACKET,BLACK,S,,,12,1,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3719189,,,,,,,,,,904S,,48,Each,17.49,1859835,647484037544,PS63172-01XL,,BULL FROGG SIG75 JACKET,BLACK,XL,,,12,1,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3719189,,,,,,,,,,904S,,36,Each,17.49,1859836,647484037551,PS63172-01XX,,BULL FROGG SIG75 JACKET,BLACK,XXL,,,12,1,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3719189,,,,,,,,,,904S,,36,Each,17.49,1859837,647484037650,PS63172-05LG,,BULL FROGG SIG75 JACKET,STONE,L,,,12,1,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3719189,,,,,,,,,,904S,,12,Each,17.49,1859838,647484037643,PS63172-05MD,,BULL FROGG SIG75 JACKET,STONE,M,,,12,1,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3719189,,,,,,,,,,904S,,12,Each,17.49,1859839,647484037636,PS63172-05SM,,BULL FROGG SIG75 JACKET,STONE,S,,,12,1,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3719189,,,,,,,,,,904S,,36,Each,17.49,1859840,647484037667,PS63172-05XL,,BULL FROGG SIG75 JACKET,STONE,XL,,,12,1,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3719189,,,,,,,,,,904S,,36,Each,17.49,1859841,647484037674,PS63172-05XX,,BULL FROGG SIG75 JACKET,STONE,XXL,,,12,1,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3719189,,,,,,,,,,904S,,24,Each,17.49,1859842,647484037599,PS63172-02LG,,BULL FROGG SIG75 JACKET,NAVY BLUE,L,,,12,1,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3719189,,,,,,,,,,904S,,12,Each,17.49,1859843,647484037582,PS63172-02MD,,BULL FROGG SIG75 JACKET,NAVY BLUE,M,,,12,1,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3719189,,,,,,,,,,904S,,12,Each,17.49,1859844,647484037575,PS63172-02SM,,BULL FROGG SIG75 JACKET,NAVY BLUE,S,,,12,1,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3719189,,,,,,,,,,904S,,24,Each,17.49,1859845,647484037605,PS63172-02XL,,BULL FROGG SIG75 JACKET,NAVY BLUE,XL,,,12,1,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3719189,,,,,,,,,,904S,,12,Each,17.49,1859846,647484037612,PS63172-02XX,,BULL FROGG SIG75 JACKET,NAVY BLUE,XXL,,,12,1,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3719189,,,,,,,,,,904S,,24,Each,17.49,1859970,647484037568,PS63172-01XXX,,BULL FROGG SIG75 JACKET,BLACK,3XL,,,12,1,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3719189,,,,,,,,,,904S,,108,Each,11.49,1859984,647484037834,PS83172-01LG,,BULL FROGG PANT,BLACK,L,,,12,1,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3719189,,,,,,,,,,904S,,24,Each,11.49,1859985,647484037827,PS83172-01MD,,BULL FROGG PANT,BLACK,M,,,12,1,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3719189,,,,,,,,,,904S,,36,Each,11.49,1859986,647484037810,PS83172-01SM,,BULL FROGG PANT,BLACK,S,,,12,1,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3719189,,,,,,,,,,904S,,60,Each,11.49,1859987,647484037841,PS83172-01XL,,BULL FROGG PANT,BLACK,XL,,,12,1,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3719189,,,,,,,,,,904S,,36,Each,11.49,1859988,647484037858,PS83172-01XX,,BULL FROGG PANT,BLACK,XXL,,,12,1,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3719189,,,,,,,,,,904S,,24,Each,11.49,1859989,647484037865,PS83172-01XXX,,BULL FROGG PANT,BLACK,3XL,,,12,1,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3719189,,,,,,,,,,904S,,12,Each,39.95,2009173,647484043217,NT65120-12277SM,,ANURA 3-TONE TOADZ JACKET,DUST BLUE/SLATE,S,,,12,1,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3719189,,,,,,,,,,904S,,24,Each,39.95,2009174,647484043224,NT65120-12277MD,,ANURA 3-TONE TOADZ JACKET,DUST BLUE/SLATE,M,,,12,1,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3719189,,,,,,,,,,904S,,24,Each,39.95,2009175,647484043231,NT65120-12277LG,,ANURA 3-TONE TOADZ JACKET,DUST BLUE/SLATE,L,,,12,1,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3719189,,,,,,,,,,904S,,60,Each,39.95,2009176,647484043248,NT65120-12277XL,,ANURA 3-TONE TOADZ JACKET,DUST BLUE/SLATE,XL,,,12,1,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3719189,,,,,,,,,,904S,,36,Each,39.95,2009177,647484043255,NT65120-12277XX,,ANURA 3-TONE TOADZ JACKET,DUST BLUE/SLATE,XXL,,,12,1,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3719189,,,,,,,,,,904S,,12,Each,39.95,2009178,647484043279,NT65120-11077SM,,ANURA 3-TONE TOADZ JACKET,RED/SLATE GRAY/,S,,,12,1,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3719189,,,,,,,,,,904S,,24,Each,39.95,2009179,647484043286,NT65120-11077MD,,ANURA 3-TONE TOADZ JACKET,RED/SLATE GRAY/,M,,,12,1,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
